,date,open,high,low,close,volume
0,2023-09-29 00:45:00,27013.22,27079.44,26970.65,27066.78,340.01225
1,2023-09-29 01:00:00,27066.79,27084.57,27054.15,27054.16,159.32975
2,2023-09-29 01:15:00,27054.16,27111.18,27000.0,27003.94,296.72124
3,2023-09-29 01:30:00,27003.93,27095.0,27003.93,27047.2,619.3625
4,2023-09-29 01:45:00,27047.2,27061.53,27020.0,27045.01,174.5909
5,2023-09-29 02:00:00,27045.02,27085.0,27011.92,27033.24,375.93316
6,2023-09-29 02:15:00,27033.24,27037.19,26962.28,26995.84,274.71058
7,2023-09-29 02:30:00,26995.83,26995.84,26859.7,26915.15,649.54127
8,2023-09-29 02:45:00,26915.15,26950.02,26886.21,26895.21,473.73071
9,2023-09-29 03:00:00,26895.21,26935.0,26885.01,26912.91,250.90315
10,2023-09-29 03:15:00,26912.91,26925.0,26885.71,26890.29,158.16587
11,2023-09-29 03:30:00,26890.29,26961.15,26885.13,26937.46,201.84679
12,2023-09-29 03:45:00,26937.45,26959.46,26937.45,26957.99,122.44651
13,2023-09-29 04:00:00,26958.0,26958.0,26938.78,26944.42,142.54289
14,2023-09-29 04:15:00,26944.42,26944.42,26921.2,26921.51,115.36464
15,2023-09-29 04:30:00,26921.5,26968.41,26895.94,26964.47,242.77646
16,2023-09-29 04:45:00,26964.47,26972.45,26960.1,26972.45,123.57731
17,2023-09-29 05:00:00,26972.45,26980.46,26967.5,26977.64,133.35397
18,2023-09-29 05:15:00,26977.63,26983.32,26955.82,26955.83,157.50996
19,2023-09-29 05:30:00,26955.82,26975.95,26955.82,26958.71,98.96976
20,2023-09-29 05:45:00,26958.72,26985.0,26954.98,26977.11,120.23471
21,2023-09-29 06:00:00,26977.12,26977.12,26957.53,26957.81,107.17968
22,2023-09-29 06:15:00,26957.82,26965.0,26950.0,26956.54,149.9192
23,2023-09-29 06:30:00,26956.54,27010.0,26954.16,27009.99,215.22582
24,2023-09-29 06:45:00,27009.99,27078.38,27005.0,27075.28,447.61409
25,2023-09-29 07:00:00,27075.27,27075.28,27039.56,27039.57,324.36911
26,2023-09-29 07:15:00,27039.57,27056.21,27039.56,27050.39,299.68858
27,2023-09-29 07:30:00,27050.38,27244.89,27047.7,27151.09,1587.65348
28,2023-09-29 07:45:00,27151.09,27210.0,27119.99,27179.98,684.63635
29,2023-09-29 08:00:00,27179.99,27179.99,27120.9,27144.93,301.37509
30,2023-09-29 08:15:00,27144.94,27144.94,27078.0,27104.4,420.65551
31,2023-09-29 08:30:00,27104.4,27104.4,27050.77,27053.02,208.26114
32,2023-09-29 08:45:00,27053.02,27092.59,26992.63,27003.58,315.1754
33,2023-09-29 09:00:00,27003.58,27083.57,26993.52,27070.61,285.62737
34,2023-09-29 09:15:00,27070.61,27070.61,27000.0,27008.8,205.96431
35,2023-09-29 09:30:00,27008.8,27020.06,26968.48,27017.93,219.29584
36,2023-09-29 09:45:00,27017.93,27044.1,27002.1,27035.57,161.25725
37,2023-09-29 10:00:00,27035.57,27046.69,27012.17,27014.92,210.44613
38,2023-09-29 10:15:00,27014.92,27054.83,27014.1,27053.75,188.48692
39,2023-09-29 10:30:00,27053.75,27058.82,27028.0,27050.01,194.0553
40,2023-09-29 10:45:00,27050.01,27062.98,27028.96,27028.96,134.98396
41,2023-09-29 11:00:00,27028.96,27065.0,27013.53,27013.54,193.28027
42,2023-09-29 11:15:00,27013.53,27024.74,26990.88,26990.89,210.29544
43,2023-09-29 11:30:00,26990.88,27016.26,26973.38,27007.12,214.70057
44,2023-09-29 11:45:00,27007.12,27015.09,26963.7,26970.78,164.00542
45,2023-09-29 12:00:00,26970.78,26976.65,26918.68,26926.48,499.03268
46,2023-09-29 12:15:00,26926.47,26957.61,26897.0,26951.71,482.17422
47,2023-09-29 12:30:00,26951.7,26999.99,26940.36,26995.39,479.95348
48,2023-09-29 12:45:00,26995.39,27013.68,26980.08,27001.0,293.34987
49,2023-09-29 13:00:00,27001.01,27018.13,26973.98,27010.46,164.74676
50,2023-09-29 13:15:00,27010.47,27012.57,26976.74,27006.37,184.70003
51,2023-09-29 13:30:00,27006.37,27048.88,26895.0,26951.92,487.4565
52,2023-09-29 13:45:00,26951.93,26951.93,26891.1,26895.0,373.10038
53,2023-09-29 14:00:00,26895.01,26909.22,26665.16,26798.42,1883.11465
54,2023-09-29 14:15:00,26798.42,26830.98,26735.0,26781.83,638.06146
55,2023-09-29 14:30:00,26781.82,27149.05,26780.44,27002.34,1497.9515
56,2023-09-29 14:45:00,27002.34,27056.11,26834.97,26908.12,922.46031
57,2023-09-29 15:00:00,26908.12,26933.91,26847.07,26855.58,464.02066
58,2023-09-29 15:15:00,26855.57,26923.47,26805.0,26827.29,367.28947
59,2023-09-29 15:30:00,26827.29,26880.64,26791.48,26877.45,418.64473
60,2023-09-29 15:45:00,26877.45,26899.79,26840.62,26888.57,304.82138
61,2023-09-29 16:00:00,26888.57,26907.75,26831.65,26851.29,307.96826
62,2023-09-29 16:15:00,26851.3,26882.91,26842.75,26864.88,221.79412
63,2023-09-29 16:30:00,26864.87,26869.6,26819.83,26819.83,279.48693
64,2023-09-29 16:45:00,26819.84,26875.0,26809.57,26875.0,202.25395
65,2023-09-29 17:00:00,26875.0,26880.0,26849.25,26880.0,131.95166
66,2023-09-29 17:15:00,26879.99,26882.91,26830.83,26845.27,211.52522
67,2023-09-29 17:30:00,26845.28,26866.13,26826.41,26862.18,185.41002
68,2023-09-29 17:45:00,26862.18,26869.62,26838.36,26840.95,118.94981
69,2023-09-29 18:00:00,26840.95,26840.95,26760.38,26760.38,347.35533
70,2023-09-29 18:15:00,26760.39,26835.0,26750.0,26823.88,174.35358
71,2023-09-29 18:30:00,26823.88,26880.0,26823.54,26876.35,277.77328
72,2023-09-29 18:45:00,26876.35,26934.06,26865.01,26920.0,375.1353
73,2023-09-29 19:00:00,26919.99,26944.99,26895.0,26930.01,241.73874
74,2023-09-29 19:15:00,26930.01,26942.69,26902.54,26931.82,145.26147
75,2023-09-29 19:30:00,26931.81,26935.03,26910.35,26914.09,112.66634
76,2023-09-29 19:45:00,26914.1,26954.09,26914.09,26926.52,172.56753
77,2023-09-29 20:00:00,26926.53,26984.99,26914.45,26922.61,233.0192
78,2023-09-29 20:15:00,26922.62,26926.05,26872.67,26887.97,201.81576
79,2023-09-29 20:30:00,26887.97,26922.2,26887.96,26902.6,147.73359
80,2023-09-29 20:45:00,26902.6,26910.48,26894.54,26910.48,120.48571
81,2023-09-29 21:00:00,26910.47,26914.69,26880.0,26893.48,88.86211
82,2023-09-29 21:15:00,26893.49,26920.0,26893.48,26919.63,107.24835
83,2023-09-29 21:30:00,26919.62,26919.63,26888.2,26895.12,126.25886
84,2023-09-29 21:45:00,26895.13,26899.5,26869.99,26870.0,102.03496
85,2023-09-29 22:00:00,26870.0,26912.32,26869.98,26906.5,127.68009
86,2023-09-29 22:15:00,26906.51,26906.51,26867.01,26889.21,166.57862
87,2023-09-29 22:30:00,26889.22,26892.84,26866.13,26872.07,110.69357
88,2023-09-29 22:45:00,26872.07,26896.81,26872.07,26887.2,108.4299
89,2023-09-29 23:00:00,26887.2,26904.99,26876.34,26904.99,78.19539
90,2023-09-29 23:15:00,26904.98,26926.56,26895.23,26895.24,110.52516
91,2023-09-29 23:30:00,26895.24,26924.79,26895.23,26910.58,94.74102
92,2023-09-29 23:45:00,26910.57,26920.13,26906.96,26906.96,65.37306
93,2023-09-30 00:00:00,26906.96,26917.77,26891.65,26917.76,90.98981
94,2023-09-30 00:15:00,26917.76,26927.99,26895.87,26895.87,90.86619
95,2023-09-30 00:30:00,26895.87,26929.82,26895.87,26929.45,68.87995
96,2023-09-30 00:45:00,26929.44,26946.98,26929.01,26936.11,125.5969
97,2023-09-30 01:00:00,26936.11,26941.69,26921.92,26921.92,116.42059
98,2023-09-30 01:15:00,26921.92,26932.28,26913.71,26915.81,114.40303
99,2023-09-30 01:30:00,26915.81,26924.53,26900.27,26900.27,85.24349
100,2023-09-30 01:45:00,26900.28,26913.04,26891.26,26894.65,96.61186
101,2023-09-30 02:00:00,26894.65,26898.89,26889.66,26898.85,74.38094
102,2023-09-30 02:15:00,26898.85,26909.43,26886.31,26886.89,41.94681
103,2023-09-30 02:30:00,26886.89,26916.8,26886.88,26914.85,66.48076
104,2023-09-30 02:45:00,26914.84,26918.2,26898.89,26909.42,71.38873
105,2023-09-30 03:00:00,26909.41,26927.01,26909.41,26917.59,70.87258
106,2023-09-30 03:15:00,26917.6,26933.56,26917.0,26917.01,53.54994
107,2023-09-30 03:30:00,26917.0,26917.01,26897.45,26903.75,41.17819
108,2023-09-30 03:45:00,26903.76,26916.24,26893.63,26915.3,66.63377
109,2023-09-30 04:00:00,26915.3,26918.41,26911.51,26918.0,106.90776
110,2023-09-30 04:15:00,26917.99,26938.78,26917.99,26938.77,73.42154
111,2023-09-30 04:30:00,26938.78,26941.62,26935.09,26935.68,169.2846
112,2023-09-30 04:45:00,26935.68,26939.11,26924.62,26924.62,34.31921
113,2023-09-30 05:00:00,26924.62,26937.55,26924.62,26937.54,53.75697
114,2023-09-30 05:15:00,26937.54,26955.91,26937.54,26947.84,74.43503
115,2023-09-30 05:30:00,26947.83,26947.84,26928.38,26928.39,52.14175
116,2023-09-30 05:45:00,26928.38,26937.33,26926.88,26934.9,94.84882
117,2023-09-30 06:00:00,26934.91,26940.0,26929.46,26936.27,100.1482
118,2023-09-30 06:15:00,26936.26,26942.22,26933.32,26933.32,65.65499
119,2023-09-30 06:30:00,26933.33,26951.97,26933.32,26941.46,90.73643
120,2023-09-30 06:45:00,26941.47,26941.47,26927.48,26927.49,89.79292
121,2023-09-30 07:00:00,26927.49,26927.49,26924.18,26926.58,65.32928
122,2023-09-30 07:15:00,26926.58,26940.26,26919.36,26938.15,252.36267
123,2023-09-30 07:30:00,26938.15,26958.04,26938.14,26944.02,176.86484
124,2023-09-30 07:45:00,26944.02,26944.02,26931.75,26931.75,183.4667
125,2023-09-30 08:00:00,26931.76,26933.28,26925.08,26933.15,146.54856
126,2023-09-30 08:15:00,26933.14,26937.2,26923.18,26926.54,116.22196
127,2023-09-30 08:30:00,26926.53,26935.17,26923.42,26935.16,132.19878
128,2023-09-30 08:45:00,26935.17,26938.32,26926.71,26929.09,134.26573
129,2023-09-30 09:00:00,26929.09,26956.99,26929.09,26950.65,157.79395
130,2023-09-30 09:15:00,26950.64,26959.0,26950.0,26957.26,102.25429
131,2023-09-30 09:30:00,26957.26,26957.27,26952.18,26952.18,66.11002
132,2023-09-30 09:45:00,26952.19,26952.19,26939.57,26947.64,62.07037
133,2023-09-30 10:00:00,26947.63,26960.37,26947.63,26960.36,127.89629
134,2023-09-30 10:15:00,26960.37,26975.02,26960.36,26975.02,100.59183
135,2023-09-30 10:30:00,26975.01,26978.04,26960.0,26978.04,161.85499
136,2023-09-30 10:45:00,26978.04,26987.84,26974.67,26978.94,115.87697
137,2023-09-30 11:00:00,26978.95,26978.95,26966.59,26974.67,80.2413
138,2023-09-30 11:15:00,26974.67,26997.0,26971.21,26975.85,145.36786
139,2023-09-30 11:30:00,26975.85,26975.86,26924.2,26924.2,211.40453
140,2023-09-30 11:45:00,26924.2,26949.94,26923.54,26936.02,152.81378
141,2023-09-30 12:00:00,26936.02,26948.78,26929.98,26945.04,169.65257
142,2023-09-30 12:15:00,26945.04,26948.78,26935.62,26945.8,128.70924
143,2023-09-30 12:30:00,26945.8,26954.4,26928.5,26928.5,163.44348
144,2023-09-30 12:45:00,26928.5,26939.51,26909.94,26928.06,168.28428
145,2023-09-30 13:00:00,26928.05,26928.06,26903.01,26918.49,214.07386
146,2023-09-30 13:15:00,26918.5,26931.6,26913.72,26931.6,155.03306
147,2023-09-30 13:30:00,26931.6,26943.69,26931.59,26935.98,100.32592
148,2023-09-30 13:45:00,26935.98,26979.0,26928.2,26973.39,225.53436
149,2023-09-30 14:00:00,26973.4,27000.0,26957.26,26994.13,364.48002
150,2023-09-30 14:15:00,26994.12,27006.41,26963.3,26978.66,308.94908
151,2023-09-30 14:30:00,26978.66,26995.11,26964.19,26994.12,154.03487
152,2023-09-30 14:45:00,26994.12,27004.89,26988.23,26992.38,128.74627
153,2023-09-30 15:00:00,26992.39,27027.8,26979.73,27021.75,170.31748
154,2023-09-30 15:15:00,27021.75,27070.24,27007.76,27016.41,463.4292
155,2023-09-30 15:30:00,27016.41,27047.94,27000.37,27040.11,131.61084
156,2023-09-30 15:45:00,27040.1,27094.99,26982.52,26996.29,512.08941
157,2023-09-30 16:00:00,26996.29,27024.62,26987.39,27009.5,195.38943
158,2023-09-30 16:15:00,27009.5,27009.5,26975.45,26989.45,210.14773
159,2023-09-30 16:30:00,26989.45,27039.42,26989.44,27026.89,266.93703
160,2023-09-30 16:45:00,27026.9,27043.61,27014.29,27020.92,161.75713
161,2023-09-30 17:00:00,27020.91,27020.92,26970.72,26986.47,224.34763
162,2023-09-30 17:15:00,26986.47,27013.26,26986.46,27013.26,111.21105
163,2023-09-30 17:30:00,27013.26,27028.31,27000.0,27028.3,82.0056
164,2023-09-30 17:45:00,27028.31,27030.18,27014.32,27017.55,88.76396
165,2023-09-30 18:00:00,27017.54,27017.55,27003.64,27014.0,107.95623
166,2023-09-30 18:15:00,27013.99,27014.0,26997.21,27008.69,91.18821
167,2023-09-30 18:30:00,27008.69,27013.4,26989.57,26995.6,105.64411
168,2023-09-30 18:45:00,26995.6,27003.25,26990.03,26999.98,85.92549
169,2023-09-30 19:00:00,26999.98,27003.25,26987.78,26994.01,169.65764
