,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,upper,lower,signal
28,28,28,2022-01-01 07:00:00,46979.61000000,47044.26000000,46864.84000000,46990.23000000,175.37744000,47047.920529297095,46948.633903093454,46729.70372077272,46574.31730571673,46467.0332974982,47473.76741105515,46660.003921133255,
29,29,29,2022-01-01 07:15:00,46990.23000000,47052.98000000,46948.41000000,46959.61000000,119.88006000,47031.86406942489,46949.679245655985,46738.71965329144,46581.946864019366,46471.93455821961,47479.98827036668,46666.22478044478,
30,30,30,2022-01-01 07:30:00,46959.61000000,47122.91000000,46945.77000000,47096.70000000,132.61288000,47043.65242043854,46963.68122226018,46752.758098260405,46592.13999542492,46478.15112977962,47484.30984845737,46670.546358535474,
31,31,31,2022-01-01 07:45:00,47096.69000000,47255.85000000,47073.12000000,47194.73000000,218.33043000,47071.121071267895,46985.68586775921,46770.090329701176,46604.07247076304,46485.28126779176,47486.76099060857,46672.99750068667,
32,32,32,2022-01-01 08:00:00,47194.73000000,47228.86000000,47075.11000000,47151.37000000,131.91374000,47085.71178558282,47001.465308925,46785.042473634465,46614.91004559942,46491.90901637095,47487.41407155199,46673.65058163009,
33,33,33,2022-01-01 08:15:00,47151.37000000,47344.69000000,47145.05000000,47305.23000000,183.98417000,47125.62418820412,47030.39527950357,46805.44198447233,46628.57974766676,46500.001762476706,47486.38294259121,46672.619452669314,
34,34,34,2022-01-01 08:30:00,47305.23000000,47313.91000000,47166.97000000,47210.18000000,109.50519000,47140.997972167,47047.51763383657,46821.31406351263,46640.09658434662,46507.06821260132,47483.82041167232,46670.05692175042,
35,35,35,2022-01-01 08:45:00,47210.18000000,47260.00000000,47081.74000000,47124.82000000,107.04457000,47138.05652268209,47054.87976394738,46833.21625710038,46649.695067824905,46513.214996555536,47479.91512993999,46666.15164001809,
36,36,36,2022-01-01 09:00:00,47124.82000000,47215.56000000,47062.77000000,47205.77000000,127.12603000,47150.36806401262,47069.250262619054,46847.826207802325,46660.70645262045,46520.10609111717,47474.8876657037,46661.124175781806,
37,37,37,2022-01-01 09:15:00,47205.77000000,47205.78000000,47082.06000000,47094.74000000,85.76911000,47140.253870555774,47071.67785665533,46857.509101614,46669.30117633093,46525.82384145432,47468.98554650966,46655.222056587765,
38,38,38,2022-01-01 09:30:00,47094.74000000,47126.85000000,46933.58000000,46988.47000000,221.15260000,47112.656803182,47063.75329887863,46862.644823119335,46675.62135105705,46530.42728581796,47462.477144688215,46648.71365476632,
39,39,39,2022-01-01 09:45:00,46988.46000000,47143.99000000,46947.43000000,47143.98000000,107.27717000,47118.35192987618,47071.39393708067,46873.677575153866,46684.89577974899,46536.53228794913,47455.64445236845,46641.88096244655,
40,40,40,2022-01-01 10:00:00,47143.98000000,47298.75000000,47111.11000000,47111.12000000,128.77257000,47117.03703353505,47075.177371644415,46882.98904279489,46693.335863318316,46542.249578616305,47448.77500249254,46635.01151257064,
41,41,41,2022-01-01 10:15:00,47111.11000000,47111.12000000,46812.99000000,46874.25000000,285.13532000,47072.89393652868,47056.0414314878,46882.64633523431,46696.91832147043,46545.55306539624,47442.153397273694,46628.3899073518,
42,42,42,2022-01-01 10:30:00,46874.26000000,47017.95000000,46715.39000000,46979.50000000,366.49823000,47055.91322079619,47048.7517713461,46886.4445181663,46702.513998272996,46549.870945342554,47436.053058928264,46622.28956900637,
43,43,43,2022-01-01 10:45:00,46979.50000000,47081.02000000,46868.71000000,46871.08000000,142.61148000,47022.30718065142,47031.83065026552,46885.841988042135,46705.85193890125,46553.06705533915,47430.728882107556,46616.96539218566,
44,44,44,2022-01-01 11:00:00,46871.09000000,46960.39000000,46862.41000000,46925.19000000,164.24690000,47004.64951144207,47021.67439785928,46887.3850473346,46710.195266843795,46556.769771206426,47426.41142180106,46612.64793187916,
45,45,45,2022-01-01 11:15:00,46925.20000000,47007.73000000,46898.97000000,46956.77000000,171.41749000,46995.94414572533,47015.493026634584,46890.106025870504,46715.07793482708,46560.74987298547,47423.303093152805,46609.53960323091,
46,46,46,2022-01-01 11:30:00,46956.78000000,46994.24000000,46819.90000000,46946.36000000,218.58084000,46986.92884650254,47008.90892885986,46892.312064071666,46719.65777770179,46564.58678967218,47421.576609765936,46607.81311984404,
47,47,47,2022-01-01 11:45:00,46946.36000000,46978.42000000,46756.77000000,46758.87000000,178.64270000,46945.46360168389,46985.09569753987,46887.079041951205,46720.434257351255,46566.5199559441,47421.375581356435,46607.61209143454,
48,48,48,2022-01-01 12:00:00,46758.87000000,46992.60000000,46756.30000000,46990.62000000,132.00011000,46953.67385592318,46985.62182158369,46891.13947167861,46725.78447007697,46570.73985687998,47422.81687819857,46609.053388276676,
49,49,49,2022-01-01 12:15:00,46990.14000000,47012.49000000,46884.87000000,46959.51000000,120.00104000,46954.734973028055,46983.134981432864,46893.82066886768,46730.412698392276,46574.60821651302,47425.99410027481,46612.23061035291,
50,50,50,2022-01-01 12:30:00,46959.51000000,47150.48000000,46941.20000000,47008.32000000,222.54846000,46964.47770520477,46985.533554629736,46898.310838716,46735.9158132756,46578.92375664722,47430.98130978625,46617.21781986435,
51,51,51,2022-01-01 12:45:00,47008.32000000,47133.78000000,47007.01000000,47074.05000000,107.60048000,46984.39994062208,46993.963692284044,46905.20257053106,46742.61153974538,46583.85038593431,47437.836130066054,46624.07264014416,
52,52,52,2022-01-01 13:00:00,47074.05000000,47150.00000000,47021.79000000,47141.50000000,105.86007000,47012.9635877817,47008.014769209374,46914.46913639259,46750.510321136564,46589.39913831308,47446.60139659742,46632.83790667552,
53,53,53,2022-01-01 13:15:00,47141.51000000,47199.67000000,46983.01000000,47022.59000000,148.11585000,47014.71384454866,47009.402886427524,46918.70917025955,46755.898037549705,46593.70949514579,47457.30475999418,46643.54127007228,
54,54,54,2022-01-01 13:30:00,47022.59000000,47095.48000000,46935.09000000,47067.11000000,107.32250000,47024.24041826709,47014.89880200586,46924.528810641525,46762.06065066753,46598.419947930415,47469.955959090235,46656.19246916834,
55,55,55,2022-01-01 13:45:00,47067.10000000,47080.12000000,46967.91000000,47023.24000000,92.84570000,47024.05852403671,47015.69320181482,46928.39983767519,46767.23251897115,46602.64701312514,47484.541860899226,46670.77837097733,
56,56,56,2022-01-01 14:00:00,47023.24000000,47066.89000000,46950.00000000,46969.74000000,103.67317000,47014.1824287573,47011.316706403886,46930.02102051146,46771.24256810043,46606.299679661206,47501.01974967787,46687.25625975597,
57,57,57,2022-01-01 14:15:00,46969.73000000,47100.00000000,46967.54000000,47024.10000000,113.55795000,47015.9856235287,47012.53416293685,46933.710392256115,46776.24964595983,46610.456896779004,47519.309684724634,46705.54619480274,
58,58,58,2022-01-01 14:30:00,47024.11000000,47031.90000000,46850.18000000,46904.67000000,124.59323000,46995.746419250754,47002.26138551429,46932.57155334411,46778.79262326756,46613.384390343395,47539.2869877233,46725.523497801405,
59,59,59,2022-01-01 14:45:00,46904.67000000,46965.50000000,46877.04000000,46926.22000000,161.83785000,46983.10525211425,46995.01934879865,46932.32247282081,46781.71197726226,46616.49718247929,47560.77603093386,46747.012541011965,
60,60,60,2022-01-01 15:00:00,46920.01000000,47009.74000000,46871.69000000,46953.79000000,121.57924000,46977.77520627529,46991.09274415116,46933.16433663176,46785.11946286103,46619.85332991731,47583.54646104249,46769.78297112059,
61,61,61,2022-01-01 15:15:00,46953.79000000,47030.00000000,46920.80000000,47026.82000000,82.47188000,46986.692441497966,46994.49533994628,46936.83710774424,46789.9056121113,46623.902749520115,47607.31281336081,46793.549323438914,
62,62,62,2022-01-01 15:30:00,47026.83000000,47491.14000000,46996.75000000,47342.13000000,861.85823000,47051.317452134695,47027.60340280854,46952.73094665624,46800.840748505136,46631.049289325885,47631.738168834905,46817.97467891301,
63,63,63,2022-01-01 15:45:00,47342.12000000,47408.04000000,47117.09000000,47219.04000000,450.04370000,47081.81246083747,47045.83545968392,46963.174438944225,46809.12192180206,46636.899943163444,47656.442117756786,46842.67862783489,
64,64,64,2022-01-01 16:00:00,47219.04000000,47461.29000000,47186.07000000,47428.34000000,320.37946000,47144.817467957924,47082.26446352355,46981.4162256523,46821.38366592479,46644.77496860461,47681.012863747776,46867.24937382588,
65,65,65,2022-01-01 16:15:00,47428.34000000,47527.24000000,47342.42000000,47480.45000000,296.91076000,47205.84156469284,47120.18689556893,47000.9861775875,46834.434484421334,46653.09014304636,47705.02287695789,46891.25938703599,
66,66,66,2022-01-01 16:30:00,47480.46000000,47497.19000000,47375.65000000,47421.77000000,219.15048000,47245.10128020323,47148.90909599094,47017.48750395662,46846.064890670415,46660.73869883695,47728.047131336105,46914.28364141421,
67,67,67,2022-01-01 16:45:00,47421.78000000,47476.99000000,47253.40000000,47268.62000000,213.13849000,47249.377411075366,47160.31013446799,47027.33583713479,46854.432318577936,46666.787268997774,47749.682675013275,46935.91918509138,
68,68,68,2022-01-01 17:00:00,47268.61000000,47369.00000000,47238.81000000,47246.04000000,149.26952000,47248.770609061656,47168.474883566276,47035.912470972646,46862.186926130846,46672.55097776397,47769.56811281783,46955.804622895936,
69,69,69,2022-01-01 17:15:00,47246.04000000,47350.00000000,47241.28000000,47330.45000000,108.91746000,47263.62140741408,47183.90108513139,47047.46296230705,46871.45946224706,46679.09723669169,47787.40154115793,46973.638051236034,
70,70,70,2022-01-01 17:30:00,47330.45000000,47900.00000000,47325.71000000,47846.04000000,697.35462000,47369.515696975155,47246.961934166495,47078.779708883245,46890.75808675702,46690.70860747088,47802.95557055295,46989.19208063105,sell
71,71,71,2022-01-01 17:45:00,47846.03000000,47954.63000000,47672.01000000,47754.48000000,365.12417000,47439.509206616036,47295.2969880554,47105.27775951528,46907.86149097965,46701.293397446294,47816.08828993025,47002.324800008355,
72,72,72,2022-01-01 18:00:00,47754.47000000,47844.97000000,47660.85000000,47742.16000000,226.83378000,47494.53662359494,47337.855370145364,47130.25353365194,46924.38225353451,46711.650279063746,47826.7493476576,47012.9858577357,
73,73,73,2022-01-01 18:15:00,47742.16000000,47780.74000000,47601.01000000,47637.43000000,175.79179000,47520.51723748677,47366.38628727438,47150.142806842065,46938.50201089026,46720.862017580526,47834.98071554421,47021.21722562231,
74,74,74,2022-01-01 18:30:00,47637.43000000,47658.64000000,47420.00000000,47468.81000000,290.65106000,47511.11592158008,47376.14092658158,47162.63955951492,46949.00315918946,46728.30428606231,47840.91212504167,47027.148635119775,
75,75,75,2022-01-01 18:45:00,47468.81000000,47628.39000000,47430.00000000,47560.55000000,167.48362000,47520.10393583824,47393.70369547857,47178.24389051434,46961.11299762135,46736.58533794229,47844.75157768802,47030.98808776612,
76,76,76,2022-01-01 19:00:00,47560.54000000,47611.84000000,47489.76000000,47508.60000000,160.74950000,47518.01231114038,47404.646200671086,47191.1990320628,46971.95432440112,46744.26707587321,47846.771693894065,47033.00820397217,
77,77,77,2022-01-01 19:15:00,47508.61000000,47508.61000000,47338.53000000,47388.85000000,194.58520000,47494.528254569406,47403.14180060717,47198.95005041328,46980.20968431397,46750.680836312284,47847.29294120724,47033.52945128534,
78,78,78,2022-01-01 19:30:00,47388.84000000,47414.27000000,47300.00000000,47321.34000000,319.37226000,47463.03948101133,47395.35115293029,47203.749656279426,46986.964740070136,46756.35903694599,47846.664951741244,47032.90146181935,
79,79,79,2022-01-01 19:45:00,47321.34000000,47355.79000000,47292.72000000,47329.78000000,155.96464000,47438.81048446381,47389.106281222645,47208.69202269984,46993.75316105885,46762.06471817041,47845.24718908845,47031.48369916655,
80,80,80,2022-01-01 20:00:00,47329.79000000,47358.21000000,47301.01000000,47322.14000000,132.71010000,47417.59766910675,47382.72854015382,47213.14096298612,47000.25587074085,46767.63760654683,47843.3901634336,47029.6266735117,
81,81,81,2022-01-01 20:15:00,47322.15000000,47452.55000000,47250.18000000,47412.36000000,150.26913000,47416.645365632794,47385.55058394869,47220.95347424157,47008.41634854796,46774.05275474039,47841.4182392214,47027.6547492995,
82,82,82,2022-01-01 20:30:00,47412.36000000,47559.03000000,47384.60000000,47393.79000000,228.20570000,47412.489844608644,47386.33529023929,47227.73137721249,47016.04750996285,46780.21929449422,47839.61486203275,47025.851372110854,
83,83,83,2022-01-01 20:45:00,47393.78000000,47468.01000000,47347.01000000,47391.82000000,206.02299000,47408.73169104343,47386.85764354983,47234.16622516495,47023.48854936953,46786.304873653484,47838.21078415209,47024.447294230195,
84,84,84,2022-01-01 21:00:00,47391.82000000,47573.05000000,47363.97000000,47509.55000000,277.01086000,47427.06229267189,47398.542629878415,47244.96558888397,47033.113528589936,46793.50134257236,47837.37562378106,47023.61213385916,
85,85,85,2022-01-01 21:15:00,47509.55000000,47539.20000000,47340.00000000,47366.34000000,150.71611000,47416.02187582245,47395.47571274714,47249.72536971205,47039.71207257826,46799.20122971095,47837.21287586088,47023.449385938984,
86,86,86,2022-01-01 21:30:00,47366.33000000,47491.03000000,47343.42000000,47445.58000000,229.45233000,47421.39608021837,47400.24754962836,47257.40594344883,47047.74906124007,46805.632859266065,47837.75831708582,47023.99482716392,
87,87,87,2022-01-01 21:45:00,47445.59000000,47472.61000000,47268.79000000,47319.67000000,152.03997000,47402.900429269575,47392.5734972828,47259.84767115672,47053.13363428482,46810.747656686304,47838.9816162505,47025.218126328604,
88,88,88,2022-01-01 22:00:00,47319.66000000,47370.00000000,47222.22000000,47262.69000000,167.09944000,47377.40762394783,47380.20364039872,47259.95913503293,47057.28326528909,46815.24459542575,47840.790866042196,47027.0273761203,
89,89,89,2022-01-01 22:15:00,47262.70000000,47422.39000000,47255.00000000,47388.27000000,103.20575000,47379.38260141185,47380.97186512265,47264.990933659086,47063.837458055634,46820.9463407449,47843.0396804613,47029.2761905394,
90,90,90,2022-01-01 22:30:00,47388.26000000,47489.83000000,47376.72000000,47448.29000000,105.17114000,47391.911219336966,47387.38311606335,47272.17913233912,47071.450379678296,46827.18856621013,47845.536439424875,47031.77294950298,
91,91,91,2022-01-01 22:45:00,47448.29000000,47490.98000000,47369.75000000,47440.74000000,91.00228000,47400.78917945751,47392.46472405732,47278.78936244347,47078.76304542724,46833.29355560107,47848.055199449416,47034.29170952752,
92,92,92,2022-01-01 23:00:00,47440.74000000,47455.29000000,47277.77000000,47334.34000000,126.07666000,47388.70751046523,47386.929036051864,47280.96781881824,47083.82397522076,46838.27909236126,47850.347725201544,47036.584235279646,
93,93,93,2022-01-01 23:15:00,47334.33000000,47488.00000000,47328.24000000,47428.83000000,104.14312000,47396.00250856246,47390.919604046925,47286.76633572733,47090.65577769163,46844.15522079548,47852.15603857676,47038.39254865486,
94,94,94,2022-01-01 23:30:00,47428.91000000,47585.93000000,47370.58000000,47498.17000000,118.01271000,47414.57841609655,47401.133927471026,47295.056675502725,47098.72536625219,46850.662830538815,47853.22484427336,47039.461354351464,
95,95,95,2022-01-01 23:45:00,47498.17000000,47814.00000000,47492.69000000,47722.65000000,398.05705000,47470.59143135171,47431.75450580712,47311.825041169286,47111.08030949472,46859.33931978719,47853.31319092386,47039.54970100196,
