,level_0,index,date,open,high,low,close,volume,ema10,ema20,ema50,ema100,ema200,vc,vwap21,vwap50,vwap100,vwap200,upper,lower,signal
14,14,14,2023-05-01 14:00:00,28457.84000000,28573.57000000,28311.11000000,28473.3,2883.79202,28574.252283708614,28727.469394520624,28982.712011374773,29126.275234002595,29214.37518209874,82111075.323066,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28641.29299381935,27988.112355453675,
15,15,15,2023-05-01 15:00:00,28473.31000000,28488.31000000,28075.36000000,28170.64,6264.40389,28500.868232125227,28674.438023613897,28950.866050144392,29107.351764022344,29203.989757401247,176472266.79978958,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28614.18518720707,27961.004548841396,
16,16,16,2023-05-01 16:00:00,28170.64000000,28388.16000000,28014.50000000,28360.8,3765.71997,28475.40128082973,28644.567735650668,28927.72620504069,29092.568560774373,29195.599809566407,106798830.925176,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28587.29107726669,27934.110438901018,
17,17,17,2023-05-01 17:00:00,28360.80000000,28410.95000000,28167.44000000,28278.22,1990.6303,28439.550138860686,28609.67747511251,28902.255373470467,29076.442846699632,29186.47165225729,56291481.562066,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28561.049307935467,27907.868669569794,
18,18,18,2023-05-01 18:00:00,28278.21000000,28292.15000000,28090.71000000,28173.83,1658.95991,28391.23738634056,28568.16819176846,28873.68967255006,29058.569324982807,29176.39561591642,46739254.481155306,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28535.918466478142,27882.73782811247,
19,19,19,2023-05-01 19:00:00,28173.83000000,28190.25000000,27799.99000000,27843.36,6753.52126,28291.623316096822,28499.138840171465,28833.28458735202,29034.505773993045,29163.13157993715,188040723.70983362,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28512.35997436443,27859.179335998757,buy
20,20,20,2023-05-01 20:00:00,27843.35000000,27964.48000000,27666.95000000,27678.09,3290.79657,28180.071804079216,28420.943712536086,28787.98283882841,29007.646055696154,29148.355046803452,91082963.6361513,28362.3431848955,28349.4664458155,28563.9199746232,28576.5689445627,28490.82116332932,27837.64052496365,buy
21,21,21,2023-05-01 21:00:00,27678.09000000,28085.81000000,27672.86000000,27985.46,2043.35856,28144.687839701175,28379.469073246935,28756.51135495279,28987.404747662567,29136.783951810383,57184329.246537596,28318.893503351,28349.4664458155,28563.9199746232,28576.5689445627,28471.7198504312,27818.539212065527,
22,22,22,2023-05-01 22:00:00,27985.46000000,28159.26000000,27940.00000000,28020.01,1962.47535,28122.019141573684,28345.234875794846,28727.62894887621,28968.248416025683,29125.671773185408,54988578.931753494,28279.9619805359,28349.4664458155,28563.9199746232,28576.5689445627,28455.43140501234,27802.250766646666,
23,23,23,2023-05-01 23:00:00,28020.00000000,28144.49000000,28009.36000000,28068.26,1511.39018,28112.24475219665,28318.856316195335,28701.771343037926,28950.426863233093,29115.15026300446,42422092.5336868,28252.0440287036,28349.4664458155,28563.9199746232,28576.5689445627,28442.27884974792,27789.098211382247,
24,24,24,2023-05-02 00:00:00,28068.26000000,28145.60000000,27978.11000000,28050.42,1830.29425,28101.003888160893,28293.29095274816,28676.22815311487,28932.60494514927,29104.555932029292,51340522.43608499,28232.0583317888,28349.4664458155,28563.9199746232,28576.5689445627,28432.526049016815,27779.34541065114,
25,25,25,2023-05-02 01:00:00,28050.42000000,28092.61000000,27918.49000000,27942.87,1287.16353,28072.252272131635,28259.917528676906,28647.469009855464,28913.006233364136,29092.996868029,35967043.1875311,28215.777700167,28349.4664458155,28563.9199746232,28576.5689445627,28426.37360443598,27773.192966070306,
26,26,26,2023-05-02 02:00:00,27942.86000000,28035.98000000,27925.74000000,28008.52,1085.71012,28060.66458628952,28235.974906898155,28622.412185939564,28895.095614881677,29082.20605342175,30409133.6102224,28192.7677155296,28349.4664458155,28563.9199746232,28576.5689445627,28423.95677600539,27770.776137639717,
27,27,27,2023-05-02 03:00:00,28008.53000000,28046.52000000,27931.43000000,28043.76,931.28339,28057.59102514597,28217.668725288808,28599.7199433537,28878.23748389392,29071.87325687029,26116687.8811464,28175.7663807002,28349.4664458155,28563.9199746232,28576.5689445627,28425.344623514055,27772.16398514838,
28,28,28,2023-05-02 04:00:00,28043.75000000,28046.52000000,27918.45000000,27927.69,875.74443,28033.97265693761,28190.05170383273,28573.365827928064,28859.414761440574,29060.48834884173,24457518.9602667,28148.5538649252,28349.4664458155,28563.9199746232,28576.5689445627,28430.539625810034,27777.35898744436,
29,29,29,2023-05-02 05:00:00,27927.68000000,28015.00000000,27872.00000000,28000.01,1023.80797,28027.797628403496,28171.952493943896,28550.881285656375,28842.396845372445,29049.93632547017,28666633.398079697,28131.6878345489,28349.4664458155,28563.9199746232,28576.5689445627,28439.477259733725,27786.296621368052,
30,30,30,2023-05-02 06:00:00,28000.00000000,28035.02000000,27967.13000000,27999.1,844.57677,28022.57987778468,28155.490351663524,28529.242803865927,28825.697897939328,29039.480242629674,23647389.440906998,28117.6683517601,28349.4664458155,28563.9199746232,28576.5689445627,28452.025353198107,27798.844714832434,
31,31,31,2023-05-02 07:00:00,27999.10000000,28164.55000000,27992.84000000,28057.47,1493.66088,28028.923536369282,28146.15508007652,28510.741909596676,28810.485464316767,29029.708996434358,41908345.3307736,28106.5386495615,28349.4664458155,28563.9199746232,28576.5689445627,28467.983398913475,27814.802760547802,
32,32,32,2023-05-02 08:00:00,28057.47000000,28133.33000000,28014.06000000,28028.54,1472.12476,28028.853802483958,28134.953643878758,28491.832030788966,28795.001395716434,29019.747115872826,41261507.7206504,28093.8586455201,28349.4664458155,28563.9199746232,28576.5689445627,28487.082353296108,27833.901714930435,
33,33,33,2023-05-02 09:00:00,28028.55000000,28069.20000000,27939.40000000,27983.2,1476.82599,28020.553111123238,28120.500915890305,28471.88567664038,28778.92612055373,29009.43321422235,41326317.043368004,28073.5435436384,28349.4664458155,28563.9199746232,28576.5689445627,28508.985683649877,27855.805045284204,
34,34,34,2023-05-02 10:00:00,27983.21000000,28045.72000000,27967.56000000,28016.52,1027.43936,28019.81981819174,28110.597971519797,28454.02819912507,28763.828969651673,28999.5534807475,28785275.378227204,28060.5833240061,28349.4664458155,28563.9199746232,28576.5689445627,28533.29251820389,27880.111879838216,
35,35,35,2023-05-02 11:00:00,28016.53000000,28098.59000000,28012.90000000,28084.83,1064.03684,28031.639851247783,28108.143878994102,28439.549838375067,28750.383445500152,28990.451754570913,29883293.765137203,28033.9101275077,28349.4664458155,28563.9199746232,28576.5689445627,28559.543675668498,27906.363037302825,
36,36,36,2023-05-02 12:00:00,28084.83000000,28250.00000000,28004.53000000,28106.95,1987.05382,28045.332605566367,28108.030176232758,28426.5067074584,28737.642189153616,28981.66069233638,55850022.36604901,28015.8436247266,28349.4664458155,28563.9199746232,28576.5689445627,28587.231109808014,27934.05047144234,
37,37,37,2023-05-02 13:00:00,28106.94000000,28141.00000000,27936.26000000,28009.07,1962.38719,28038.7394045543,28098.605397543924,28410.136640499248,28723.21501709117,28971.98317300965,54964640.171813294,27980.9171308817,28349.4664458155,28563.9199746232,28576.5689445627,28615.810933861845,27962.630295496172,
