,date,open,high,low,close,volume
0,2021-01-01 00:00:00,736.42000000,749.00000000,729.33000000,744.82000000,130893.19622000
1,2021-01-01 04:00:00,744.87000000,747.09000000,734.40000000,737.38000000,72474.10311000
2,2021-01-01 08:00:00,737.37000000,741.76000000,725.10000000,738.85000000,128108.21447000
3,2021-01-01 12:00:00,738.85000000,743.33000000,732.12000000,735.39000000,121504.02184000
4,2021-01-01 16:00:00,735.39000000,737.73000000,714.29000000,725.34000000,156457.71927000
5,2021-01-01 20:00:00,725.34000000,731.97000000,722.50000000,728.91000000,65676.83838000
6,2021-01-02 00:00:00,728.91000000,734.40000000,714.91000000,730.39000000,119184.44960000
7,2021-01-02 04:00:00,730.39000000,740.49000000,726.26000000,735.12000000,97938.27713000
8,2021-01-02 08:00:00,735.12000000,738.35000000,723.01000000,729.70000000,120264.73109000
9,2021-01-02 12:00:00,729.70000000,772.80000000,728.25000000,768.43000000,428448.45842000
10,2021-01-02 16:00:00,768.45000000,787.69000000,764.50000000,784.79000000,334396.99240000
11,2021-01-02 20:00:00,784.79000000,785.48000000,750.12000000,774.56000000,252385.66804000
12,2021-01-03 00:00:00,774.44000000,781.59000000,770.59000000,772.37000000,114309.37983000
13,2021-01-03 04:00:00,772.44000000,805.74000000,768.71000000,799.78000000,285411.98757000
14,2021-01-03 08:00:00,799.74000000,832.30000000,791.50000000,829.76000000,334288.39418000
15,2021-01-03 12:00:00,829.77000000,921.73000000,826.38000000,917.72000000,698095.22416000
16,2021-01-03 16:00:00,917.95000000,978.00000000,888.93000000,921.53000000,805040.39911000
17,2021-01-03 20:00:00,921.61000000,1011.07000000,920.08000000,978.28000000,576458.50130000
18,2021-01-04 00:00:00,978.33000000,1025.81000000,954.22000000,1021.41000000,432623.86115000
19,2021-01-04 04:00:00,1021.41000000,1162.97000000,1012.00000000,1044.31000000,996550.05419000
20,2021-01-04 08:00:00,1044.30000000,1078.93000000,890.00000000,976.80000000,1176111.38746000
21,2021-01-04 12:00:00,976.97000000,1058.16000000,956.12000000,1040.01000000,815345.81432000
22,2021-01-04 16:00:00,1040.00000000,1048.00000000,982.05000000,1042.28000000,540996.24594000
23,2021-01-04 20:00:00,1042.16000000,1049.70000000,992.70000000,1041.43000000,283383.57698000
24,2021-01-05 00:00:00,1041.45000000,1134.60000000,995.00000000,1001.76000000,753792.30594000
25,2021-01-05 04:00:00,1001.75000000,1030.81000000,974.45000000,1003.45000000,525071.48466000
26,2021-01-05 08:00:00,1003.52000000,1050.93000000,1003.51000000,1042.21000000,324534.17389000
27,2021-01-05 12:00:00,1042.23000000,1064.00000000,1001.00000000,1052.82000000,326089.03064000
28,2021-01-05 16:00:00,1052.83000000,1108.00000000,1036.29000000,1096.33000000,458535.68236000
29,2021-01-05 20:00:00,1096.36000000,1120.00000000,1074.44000000,1099.56000000,318972.99776000
30,2021-01-06 00:00:00,1100.16000000,1110.30000000,1057.26000000,1075.49000000,272291.19258000
31,2021-01-06 04:00:00,1075.49000000,1135.02000000,1073.03000000,1106.59000000,397722.28203000
32,2021-01-06 08:00:00,1106.61000000,1166.58000000,1091.00000000,1151.88000000,427002.85506000
33,2021-01-06 12:00:00,1151.88000000,1158.96000000,1121.00000000,1143.89000000,356213.35095000
34,2021-01-06 16:00:00,1144.01000000,1208.57000000,1144.01000000,1160.78000000,514560.21454000
35,2021-01-06 20:00:00,1160.78000000,1213.00000000,1116.61000000,1208.42000000,422346.69818000
36,2021-01-07 00:00:00,1208.75000000,1224.11000000,1179.91000000,1213.17000000,276767.00381000
37,2021-01-07 04:00:00,1213.17000000,1218.04000000,1181.09000000,1186.21000000,223588.06912000
38,2021-01-07 08:00:00,1186.39000000,1205.70000000,1159.03000000,1201.12000000,239241.20032000
39,2021-01-07 12:00:00,1201.32000000,1249.98000000,1197.64000000,1249.83000000,320851.12478000
40,2021-01-07 16:00:00,1249.84000000,1289.00000000,1131.00000000,1234.14000000,647222.06056000
